id_mun,combate_hambre,combate_hambre_y_leche,beneficiarios,mun,porcentaje_pea,poblacion_pea,porc_programa_hambre,cobertura_prog_hambre,cobertura_programas,cobertura_prog_hambre_y_leche
1001,15530,17782,25624,Aguascalientes,1.9511,15498,0.60607243,1.0020648,1.6533747,1.1473738
1002,2332,2554,5114,Asientos,7.16868,3483,0.45600313,0.66953778,1.4682745,0.73327589
1003,2035,2126,3819,Calvillo,5.84351,3103,0.53286201,0.65581697,1.2307445,0.68514341
1004,1037,1064,2178,Cosío,4.23544,597,0.47612488,1.7370185,3.6482413,1.7822446
1005,2668,3088,4651,Jesús María,5.71117,5790,0.57364005,0.46079448,0.80328155,0.53333336
1006,993,1079,2347,Pabellón de Arteaga,3.27827,1435,0.42309332,0.69198608,1.6355401,0.75191635
1007,1052,1130,1532,Rincón de Romos,8.51669,4368,0.68668407,0.24084249,0.35073259,0.25869963
1008,740,742,1604,San José de Gracia,6.18994,484,0.46134663,1.5289257,3.3140495,1.5330578
1009,1389,1416,2240,Tepezalá,5.27209,1161,0.62008929,1.1963824,1.9293712,1.2196382
1010,731,796,1285,El Llano,8.78213,1549,0.56887162,0.47191736,0.82956749,0.5138799
1011,720,1043,2200,San Francisco de los Romo,3.844,1424,0.32727271,0.50561798,1.5449438,0.73244381
2001,24379,24506,25874,Ensenada,4.95709,21592,0.94221997,1.1290755,1.1983142,1.1349574
2002,29872,30025,31749,Mexicali,2.0336,19055,0.94088,1.5676725,1.6661769,1.575702
2003,3475,3502,3675,Tecate,1.28397,1336,0.94557822,2.601048,2.7507484,2.6212575
2004,53238,53459,55082,Tijuana,2.88542,46281,0.96652263,1.1503209,1.1901644,1.1550961
2005,2550,2571,2833,Playas de Rosarito,2.62892,2435,0.90010589,1.047228,1.1634496,1.0558522
3001,3346,3529,4040,Comondú,5.91196,4506,0.8282178,0.74256545,0.89658231,0.78317797
3002,2407,2474,2821,Mulegé,5.33085,2754,0.85324353,0.87400144,1.0243282,0.89832968
3003,7733,8210,9551,La Paz,2.72426,7720,0.80965346,1.001684,1.2371762,1.0634716
3008,11082,11472,13180,Los Cabos,5.43546,11722,0.84081942,0.94540179,1.1243815,0.97867256
3009,848,879,1013,Loreto,9.74136,1747,0.83711749,0.48540354,0.57985115,0.50314826
4001,1250,1331,2008,Calkiní,15.50878,8358,0.62250996,0.14955731,0.24024886,0.15924862
4002,4771,5094,6594,Campeche,5.25406,13867,0.72353655,0.34405422,0.47551742,0.36734694
4003,5219,5340,6071,Carmen,7.25267,16569,0.85966069,0.31498581,0.36640716,0.3222886
4004,1494,1647,2468,Champotón,10.76066,8284,0.60534847,0.18034765,0.29792371,0.198817
4005,1278,1314,1570,Hecelchakán,10.7532,3325,0.81401277,0.38436091,0.47218046,0.39518797
4006,928,984,1212,Hopelchén,20.4234,9605,0.76567656,0.096616343,0.12618428,0.10244665
4007,503,511,628,Palizada,14.76406,1398,0.80095541,0.35979971,0.44921315,0.36552218
4008,190,200,272,Tenabo,12.90792,1382,0.69852942,0.13748191,0.19681621,0.1447178
