id_mun,cobertura_prog_hambre,cobertura_programas,cobertura_prog_hambre_y_leche
1001,1.0020648,1.6533747,1.1473738
1002,0.66953778,1.4682745,0.73327589
1003,0.65581697,1.2307445,0.68514341
1004,1.7370185,3.6482413,1.7822446
1005,0.46079448,0.80328155,0.53333336
1006,0.69198608,1.6355401,0.75191635
1007,0.24084249,0.35073259,0.25869963
1008,1.5289257,3.3140495,1.5330578
1009,1.1963824,1.9293712,1.2196382
1010,0.47191736,0.82956749,0.5138799
1011,0.50561798,1.5449438,0.73244381
2001,1.1290755,1.1983142,1.1349574
2002,1.5676725,1.6661769,1.575702
2003,2.601048,2.7507484,2.6212575
2004,1.1503209,1.1901644,1.1550961
2005,1.047228,1.1634496,1.0558522
3001,0.74256545,0.89658231,0.78317797
3002,0.87400144,1.0243282,0.89832968
3003,1.001684,1.2371762,1.0634716
3008,0.94540179,1.1243815,0.97867256
3009,0.48540354,0.57985115,0.50314826
4001,0.14955731,0.24024886,0.15924862
4002,0.34405422,0.47551742,0.36734694
4003,0.31498581,0.36640716,0.3222886
4004,0.18034765,0.29792371,0.198817
4005,0.38436091,0.47218046,0.39518797
4006,0.096616343,0.12618428,0.10244665
4007,0.35979971,0.44921315,0.36552218
4008,0.13748191,0.19681621,0.1447178
4009,0.32237095,0.37648183,0.32676864
4010,0.18624593,0.23255016,0.19379181
4011,0.21508078,0.30233392,0.22345901
5001,0.059999999,0.059999999,0.059999999
5002,0.4970628,0.52485317,0.50994128
5003,1.062802,1.7198068,1.1304348
5004,0.75469834,0.9436202,0.76063305
5005,0.2647059,0.27941176,0.27941176
5006,0.32457143,0.43542856,0.37257144
5007,0.40196079,0.48039216,0.41176471
5008,0.16470589,0.16470589,0.16470589
5009,0.32721263,0.37128168,0.33125231
5010,0.3306846,0.49877751,0.39914426
5011,0.3577832,0.44987774,0.36104318
5012,0.72151899,0.82278478,0.72151899
5013,0.75213677,0.81196582,0.75213677
5014,0.66858792,0.73487031,0.66858792
5015,0.32352942,0.36764705,0.32352942
5016,0.20833333,0.20833333,0.20833333
5017,0.30337077,0.3695097,0.31128702
5018,0.32526585,0.46607995,0.3744041
5019,0.29714286,0.40000001,0.29714286
5020,0.4677766,0.70247048,0.51879698
5021,0.15544042,0.1865285,0.15544042
5022,0.75103307,0.80061984,0.75929755
5023,0.48090523,0.56577086,0.49504951
5024,0.53587723,0.68436331,0.53795105
5025,1.1911594,1.2621171,1.202404
5026,0.019607844,0.13725491,0.019607844
5027,0.39504132,0.46900827,0.4016529
5028,0.42987248,0.56284153,0.43624774
5029,2.5769231,3.7307692,2.5769231
5030,0.42948961,0.61066562,0.46869034
5031,0.35634327,0.37126866,0.36007464
5032,1.0918367,1.4642857,1.125
5033,0.31505054,0.44271809,0.34649944
5034,0.46153846,0.62721896,0.46153846
5035,0.34957036,0.49137777,0.37914073
5036,0.072720945,0.099164926,0.074460685
5037,0.88983053,0.92372882,0.88983053
5038,0.18380062,0.23987539,0.18691589
6001,1.2708089,1.5943727,1.3165299
6002,1.0087992,1.3721532,1.0698757
6003,1.1398026,1.7796053,1.1825658
6004,2.7036145,3.2289157,2.7662652
6005,2.2049181,2.5300546,2.2513661
6006,1.2714932,2.045249,1.3303168
6007,0.70763958,0.85626835,0.74142998
6008,2.5856574,3.2191236,2.6653388
6009,1.1398053,1.5045971,1.2263385
6010,0.77109706,1.2067511,0.81540084
7001,0.089279898,0.10035843,0.090909094
7002,0.14635807,0.255548,0.15929204
7003,0.20305273,0.43246993,0.22086032
7004,0.079092585,0.085530348,0.079245858
7005,0.10260508,0.14623621,0.10260508
7006,0.44480464,0.48387647,0.44872889
7007,0.14260302,0.16780314,0.14378892
7008,0.24158041,0.35325849,0.25470185
7009,0.77448952,0.95412844,0.77981651
7010,0.1388889,0.15256411,0.13931625
7011,0.18325792,0.41587824,0.20485397
7012,0.37902838,0.55828124,0.39105338
7013,0.27862546,0.35372165,0.28074831
7014,0.32515052,0.35155165,0.32530493
7015,1.3362222,1.4526666,1.3475555
7016,0.23268037,0.26564738,0.23554707
7017,0.33497733,0.41348973,0.34310851
7018,0.13970588,0.15441176,0.14068627
7019,0.43036324,0.52635825,0.43284693
7020,0.38091978,0.45224237,0.38651147
7021,0.085085414,0.091327198,0.086399473
7022,0.45581627,0.51139957,0.45598269
7023,0.19318075,0.21752849,0.19318075
7024,0.3217583,0.3504203,0.32423866
7025,0.24022347,0.26368716,0.24134079
7026,0.19034466,0.20811099,0.190533
7027,0.59806687,0.72987771,0.60927206
7028,0.50393701,0.61220473,0.52066928
7029,0.080607474,0.10163552,0.081775703
7030,0.4523747,0.48425609,0.45696667
7031,0.14539649,0.15533863,0.14539649
7032,0.14197212,0.22990879,0.15195319
7033,0.19638722,0.21815656,0.19638722
7034,0.685772,0.7326169,0.6939469
7035,0.74273461,0.81419724,0.74606955
7036,0.14638783,0.15703422,0.14676806
7037,0.35153073,0.47955471,0.3618069
7038,0.1031701,0.11214635,0.10328372
7039,0.10588235,0.1158044,0.10588235
7040,0.27310264,0.38360205,0.28273693
7041,0.22345154,0.24841608,0.2243026
7042,0.26140568,0.35912454,0.26726264
7043,0.14124514,0.22412452,0.15525292
7044,0.11168408,0.15958746,0.11358393
7045,0.065602839,0.10756501,0.067966901
7046,0.39293921,0.4426572,0.40254858
7047,0.19179913,0.20234735,0.19224484
7048,0.289956,0.3420088,0.29472139
7049,0.34317344,0.38332972,0.34349903
7050,0.24253285,0.35244924,0.25806451
7051,0.23749416,0.46594983,0.24232507
7052,0.3850604,0.41689244,0.38582233
7053,0.25377154,0.27424568,0.25808188
7054,0.53954268,0.68554646,0.54730439
7055,0.96353167,1.0652591,0.97120923
7056,0.17664959,0.18930173,0.17664959
7057,0.45242774,0.48562276,0.45759627
7058,0.31614861,0.42077333,0.3297953
7059,0.11267884,0.1223721,0.11273528
7060,0.22696525,0.27035221,0.22883135
7061,0.29847091,0.36194393,0.30378345
7062,0.21224117,0.22807552,0.21285018
7063,0.049295776,0.066901408,0.049295776
7064,0.19677478,0.21380685,0.19709186
7065,0.18303789,0.20005247,0.1841622
7066,0.12881774,0.14938423,0.12894088
7067,0.27830622,0.34949371,0.27830622
7068,0.24910934,0.35105509,0.26226363
7069,0.18232271,0.22168551,0.18345323
7070,0.20634921,0.2296467,0.20711726
7071,0.33782887,0.53968602,0.34313509
7072,0.12069674,0.13573247,0.12102539
7073,0.12201213,0.17731002,0.12272565
7074,0.23191366,0.252042,0.2365811
7075,0.10149635,0.19788888,0.10984804
7076,0.10668084,0.11722488,0.10685805
7077,0.10164338,0.11872412,0.10196687
7078,0.20415643,0.23757169,0.20454447
7079,0.18948306,0.31764707,0.19786096
7080,0.25243497,0.28497764,0.25736222
7081,0.23110983,0.24708827,0.23130234
7082,0.22521339,0.24513023,0.22608887
7083,0.11254089,0.12693566,0.11494002
7084,0.097256854,0.12817955,0.10274314
7085,0.1005291,0.10934744,0.1005291
7086,0.1765999,0.19907181,0.17830972
7087,0.47506189,0.4989388,0.47576937
7088,0.43514645,0.4623431,0.43723848
7089,0.65025508,0.69677931,0.65609056
7090,0.18762475,0.31337327,0.18762475
7091,0.066736728,0.18024172,0.083552286
7092,0.30573636,0.37533629,0.31658423
7093,0.087285906,0.095520422,0.087285906
7094,0.33512619,0.3852917,0.33585024
7096,0.13904338,0.16172731,0.13904338
7097,0.49857691,0.63676512,0.5062322
7098,0.11233108,0.18327703,0.11739865
7099,0.81861341,0.91296154,0.82305956
7100,0.23438735,0.26887351,0.23458499
7101,0.30560574,0.40956166,0.32698098
7102,0.8827545,0.9332146,0.88483232
7103,0.21721056,0.32113907,0.23259197
7104,0.31667706,0.40599626,0.32792005
7105,1.4015104,1.499056,1.4115796
7106,0.2821067,0.31974906,0.28753692
7107,0.37957725,0.46871093,0.38535279
7108,0.34018365,0.39927542,0.34549317
7109,0.49024865,0.65163332,0.49098
7110,0.33333334,0.36870897,0.33807439
7111,0.16084413,0.18030725,0.16182822
7112,0.2963942,0.33150333,0.29659754
7113,0.2946623,0.32244009,0.2946623
7114,0.28282827,0.31952175,0.28530201
7115,0.21165511,0.2270364,0.21165511
7116,0.22323462,0.24738041,0.22323462
7117,0.16765819,0.19145484,0.17252569
7118,0.19668247,0.23400474,0.19668247
7119,0.47133139,0.50826043,0.47230321
8001,0.23324397,0.28954422,0.24396783
8002,0.43173432,0.55719554,0.47785977
8003,1.3227848,1.4905063,1.3227848
8004,2.5342467,2.7808218,2.5616438
8005,0.56004059,0.57324195,0.56181771
8006,4.7857141,5.7619047,4.7857141
8007,0.27849701,0.37196085,0.28228608
8008,0.46586466,0.50015038,0.46766916
8009,0.65447855,0.81570554,0.67607361
8010,0.15712546,0.22777101,0.15712546
8011,1.2565757,1.3305211,1.2674938
8012,0.14441901,0.19908467,0.15052123
8013,0.29198965,0.42248061,0.31524548
8014,1.3666667,1.9333333,1.3666667
8015,0.32110092,0.70642203,0.32110092
8016,0.1835206,0.23970038,0.1835206
8017,0.36469954,0.5127033,0.40516198
8018,0.67420816,0.73303169,0.67420816
8019,1.1626292,1.4814718,1.2423726
8020,0.23227753,0.26344898,0.23227753
8021,0.89789677,1.2210325,0.96022946
8022,0.72307694,0.7846154,0.72307694
8023,0.34353742,0.39455783,0.34353742
8024,0.50549453,0.65934068,0.54945058
8025,1.9179105,2.1604478,1.9179105
8026,0.73333335,0.81333333,0.73333335
8027,0.55092984,0.6076746,0.55694139
8028,0.76543212,0.81481481,0.76543212
8029,0.46988726,0.50228345,0.4748109
8030,0.43384784,0.51378173,0.43384784
8031,1.2352573,1.4190716,1.270389
8032,1.6384208,1.867116,1.675975
8033,0.95833331,1.125,0.95833331
8034,1.0456274,1.2775666,1.0456274
8035,0.36631235,0.38348323,0.36631235
8036,0.76561403,1.0315789,0.7880702
8037,0.94560361,1.0016748,0.95469296
8038,0.82287824,0.97047973,0.82287824
8039,1.0841584,1.2277228,1.0841584
8040,0.64411491,0.83086193,0.7034291
8041,0.34328359,0.46600333,0.34494194
8042,0.39759037,0.46184739,0.39759037
8043,1.2403101,1.4186046,1.2635659
8044,1.7851852,1.9333333,1.7925926
8045,1.7868339,1.9984326,1.830721
8046,0.52499998,0.64030612,0.54081631
8047,0.80639732,1.0218855,0.80976433
8048,1.0202178,1.1384137,1.0248834
8049,0.61842108,1.0230263,0.625
8050,0.17171314,0.23784861,0.18446214
8051,0.50561798,0.62717056,0.52604699
8052,1.5958703,1.6794493,1.5978367
8053,1.7483444,2.0463576,1.7483444
8054,1.048,1.176,1.048
8055,0.33988765,0.42415729,0.36797753
8056,0.87850469,1.2336448,0.93457943
8057,0.80281693,1.6901408,0.97183096
8058,0.18518518,0.18518518,0.18518518
8059,2.0465117,2.3372092,2.0465117
8060,1.6783919,1.9246231,1.7085427
8061,0.47169811,0.75,0.50943398
8062,0.91539365,1.0575793,0.95299649
8063,0.52741516,0.59268928,0.54438645
8064,0.91608393,0.97202796,0.91608393
8065,0.28278521,0.31952903,0.2860333
8066,0.3513169,0.42523363,0.36491078
8067,1.4213483,1.7022471,1.4438202
9002,0.034388833,0.13278855,0.083758935
9003,0.43583649,0.59268063,0.498891
9004,0.55707198,0.94789082,0.80479735
9005,0.25334468,0.3758581,0.3149271
9006,0.02002921,0.1975798,0.13728353
9007,0.19570401,0.36070645,0.28678417
9008,0.081938103,0.18670726,0.14992389
9009,0.42160419,0.6553809,0.5421201
9010,0.46297246,0.6438899,0.53519267
9011,0.069835111,0.18807866,0.14222732
9012,0.87454486,1.0321355,0.94839323
9013,0.33447582,0.52006048,0.4205645
9014,0.024255788,0.05071665,0.030871004
9015,0.016122984,0.063929506,0.042182226
9016,0.16813451,0.2786229,0.22818254
9017,0.073322222,0.14179669,0.11377064
10001,0.63349056,0.72735852,0.64952832
10002,0.1815889,0.2446406,0.19293821
10003,0.20408164,0.26913264,0.21811225
10004,0.36942148,0.43966943,0.37644628
10005,0.79711717,0.99434286,0.85942346
10006,0.14619081,0.216884,0.14756349
10007,0.45613909,0.54102415,0.47286877
10008,0.46955547,0.53978336,0.48150915
10009,0.42787683,0.4611021,0.43517017
10010,1.1390134,1.219731,1.1479821
10011,2.0710382,2.2459016,2.0983605
10012,0.57490176,0.71709234,0.60289782
10013,0.48376352,0.54121566,0.49042463
10014,0.50615299,0.59125334,0.51609236
10015,0.45987377,0.54643822,0.46889091
10016,0.458125,0.51125002,0.47
10017,0.57936507,0.65238094,0.58730161
10018,1.4481708,1.5365853,1.4603659
10019,0.071010858,0.092731826,0.081035919
10020,0.54301077,0.63978493,0.56048387
